no,Category,name,price,salePrice,brand,unitType,description,ManuDetail,TermDetail,amount,image,relatedProduct
1,แผ่นยิปซัม,แผ่นยิปซัมยิปรอค ธรรมดา RE09 1.2*2.4m,238,130,-,แผ่น,-,-,-,10000,,
2,แผ่นยิปซัม,แผ่นยิปซัมยิปรอค ธรรมดา RE12 1.2*2.4m,268,155,-,แผ่น,-,-,-,10000,,
4,แผ่นยิปซัม,แผ่นยิปซัมยิปรอค ธรรมดา SE09 1.2*2.4m,238,130,-,แผ่น,-,-,-,10000,,
5,แผ่นยิปซัม,แผ่นยิปซัมยิปรอค ธรรมดา SE12 1.2*2.4m,268,155,-,แผ่น,-,-,-,10000,,
6,แผ่นยิปซัม,แผ่นยิปซัมยิปรอค MRRE09 1.2*2.4m,352,190,-,แผ่น,-,-,-,10000,,
8,แผ่นยิปซัม,แผ่นยิปซัมยิปรอค MRSE09 1.2*2.4m,352,190,-,แผ่น,-,-,-,10000,,
50,แผ่นยิปซัม,แผ่นยิปซัมคนอฟ Denseshield RE13 1.2*2.4m,495,240,-,แผ่น,-,-,-,10000,,
51,แผ่นยิปซัม,แผ่นยิปซัมSCL ธด RE09 1.2*2.4m,108,108,-,แผ่น,-,-,-,10000,,
52,แผ่นยิปซัม,แผ่นยิปซัมSCL ธด RE12 1.2*2.4m,135,135,-,แผ่น,-,-,-,10000,,
53,แผ่นยิปซัม,แผ่นยิปซัมSCL MRRE09 1.2*2.4m,165,165,-,แผ่น,-,-,-,10000,,
54,แผ่นยิปซัม,แผ่นยิปซัมSCL FOILRE09 1.2*2.4m,165,165,-,แผ่น,-,-,-,10000,,
55,แผ่นยิปซัม,แผ่นยิปซัมSCL THERMAL-RE29 1.2*2.4m,,850,-,แผ่น,-,-,-,10000,,
65,แผ่นยิปซัม,แผ่นฝ้ายิปรอค CASOROC MRSE09 60*60cm,46,32,-,แผ่น,-,-,-,10000,,
66,แผ่นยิปซัม,แผ่นฝ้ายิปรอค CASOROC MRSE09 60*120cm,92,64,-,แผ่น,-,-,-,10000,,
69,แผ่นยิปซัม,แผ่นฝ้ายิปรอค CASOROC MRSE12 60*120cm,111,78,-,แผ่น,-,-,-,10000,,
106,แผ่นดูดซับเสียง,อะคูสติกยิปรอค GyptoneBigQ41 RE2-12.5 1.2x2.4m,"1,000.00",890,-,แผ่น,-,-,-,10000,,
107,แผ่นดูดซับเสียง,อะคูสติกยิปรอค Celotex FFSE16 59.5x59.5cm,100,80,-,แผ่น,-,-,-,10000,,
138,แผ่นยิปซัม,แผ่นพื้นเฌอร่า 15mm 1.2x2.4m,580,580,-,แผ่น,-,-,-,10000,,
139,โครงฝ้าเพดานและผนังยิปซัม,โครงผนังยิปรอค C49S50 3m,120,75,-,เส้น,-,-,-,10000,,
140,โครงฝ้าเพดานและผนังยิปซัม,โครงผนังยิปรอค U51T50 3m,105,65,-,เส้น,-,-,-,10000,,
141,โครงฝ้าเพดานและผนังยิปซัม,โครงผนังยิปรอค C62S50 3m,135,84,-,เส้น,-,-,-,10000,,
142,โครงฝ้าเพดานและผนังยิปซัม,โครงผนังยิปรอค U64T50 3m,120,74,-,เส้น,-,-,-,10000,,
143,โครงฝ้าเพดานและผนังยิปซัม,โครงผนังยิปรอค C74S50 3m,145,90,-,เส้น,-,-,-,10000,,
144,โครงฝ้าเพดานและผนังยิปซัม,โครงผนังยิปรอค U76T50 3m,130,80,-,เส้น,-,-,-,10000,,
145,โครงฝ้าเพดานและผนังยิปซัม,โครงผนังยิปรอค C92S50 3m,160,100,-,เส้น,-,-,-,10000,,
163,โครงฝ้าเพดานและผนังยิปซัม,โครงผนังSCL C74ULST 0.4mm 3m,58,65,-,เส้น,-,-,-,10000,,
220,ฉนวนกันความร้อน,RW RL920 40kg 50x1200x7500mm,"1,395.36",925,-,ม้วน,-,-,-,10000,,
242,ปูนฉาบยิปซัม,ปูนฉาบรอยต่อGyproc 60นาที 25kg,212,200,-,ถุง,-,-,-,10000,,
243,ปูนฉาบยิปซัม,ปูนฉาบรอยต่อGyproc 90นาที 25kg,212,200,-,ถุง,-,-,-,10000,,
246,ปูนฉาบยิปซัม,ปูนฉาบภายในGyproc Onecote25kg,150,150,-,ถุง,-,-,-,10000,,
247,ปูนฉาบยิปซัม,ปูนฉาบภายในGyproc Procote20kg,150,145,-,ถุง,-,-,-,10000,,
250,ปูนฉาบยิปซัม,ปูนกาวGyproc Drilyner 25kg,250,260,-,ถุง,-,-,-,10000,,
251,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL MR 9mm 60x120cm,630,675,-,ชิ้น,-,-,-,10000,,
252,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL MR 9mm 30x30cm,180,190,-,ชิ้น,-,-,-,10000,,
253,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL MR 9mm 45x45cm,270,290,-,ชิ้น,-,-,-,10000,,
254,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL MR 9mm 60x60cm,290,310,-,ชิ้น,-,-,-,10000,,
255,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL ธด 9mm 60x120cm.,560,600,-,ชิ้น,-,-,-,10000,,
256,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL ธด 9mm.20x20cm.,130,140,-,ชิ้น,-,-,-,10000,,
257,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL ธด 9mm 30x30cm,160,170,-,ชิ้น,-,-,-,10000,,
258,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL ธด 9mm 45x45cm.,210,225,-,ชิ้น,-,-,-,10000,,
259,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL ธด 9mm 60x60cm.,220,235,-,ชิ้น,-,-,-,10000,,
260,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL MR 12mm 60x120cm,780,835,-,ชิ้น,-,-,-,10000,,
261,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL MR 12mm 30x30cm,220,235,-,ชิ้น,-,-,-,10000,,
262,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL MR 12mm 45x45cm,310,330,-,ชิ้น,-,-,-,10000,,
263,ช่องเซอร์วิสสำเร็จรูป,ช่องเซอร์วิส SCL MR 12mm 60x60cm,370,395,-,ชิ้น,-,-,-,10000,,
277,อุปกรณ์เสริม,ตะขอ ป.ปลา,0.38,0.8,-,ชิ้น,-,-,-,10000,,
285,อุปกรณ์เสริม,ตัวล็อคโครง SCL,0.75,1,-,ชิ้น,-,-,-,10000,,
300,อุปกรณ์เสริม,สปริงดำ,0.45,0.8,-,ชิ้น,-,-,-,10000,,
301,อุปกรณ์เสริม,พุกเหล็กGyproc 6mm.,2,1.8,-,ชิ้น,-,-,-,10000,,
310,อุปกรณ์เสริม,ผ้าเทปGyproc 25m.(3 ม้วน/แพ็ค),110,115,-,แพ้ค,-,-,-,10000,,
